"experiment_id","experiment_year","treatment_number","plot_id","harvest_date","harvest_yld_matur_dry_wt","obs_summary_comment"
"LTFE_Duernast",2018,NA,11,"2018-09-26",10846,NA
"LTFE_Duernast",2018,NA,12,"2018-09-26",12323,NA
"LTFE_Duernast",2018,NA,13,"2018-09-26",11251,NA
"LTFE_Duernast",2018,NA,14,"2018-09-26",11631,NA
"LTFE_Duernast",2018,NA,15,"2018-09-26",10199,NA
"LTFE_Duernast",2018,NA,16,"2018-09-26",11456,NA
"LTFE_Duernast",2018,NA,17,"2018-09-26",11177,NA
"LTFE_Duernast",2018,NA,18,"2018-09-26",11558,NA
"LTFE_Duernast",2018,NA,19,"2018-09-26",11285,NA
"LTFE_Duernast",2018,NA,20,"2018-09-26",11752,NA
"LTFE_Duernast",2018,NA,21,"2018-09-26",9604,NA
"LTFE_Duernast",2018,NA,22,"2018-09-26",12307,NA
"LTFE_Duernast",2018,NA,23,"2018-09-26",7004,NA
"LTFE_Duernast",2018,NA,24,"2018-09-26",7051,NA
"LTFE_Duernast",2018,NA,25,"2018-09-26",10157,NA
"LTFE_Duernast",2018,NA,26,"2018-09-26",12095,NA
"LTFE_Duernast",2018,NA,27,"2018-09-26",10359,NA
"LTFE_Duernast",2018,NA,28,"2018-09-26",11533,NA
"LTFE_Duernast",2018,NA,29,"2018-09-26",11316,NA
"LTFE_Duernast",2018,NA,30,"2018-09-26",12786,NA
"LTFE_Duernast",2018,NA,31,"2018-09-26",10617,NA
"LTFE_Duernast",2018,NA,32,"2018-09-26",10647,NA
"LTFE_Duernast",2018,NA,33,"2018-09-26",11646,NA
"LTFE_Duernast",2018,NA,34,"2018-09-26",13382,NA
"LTFE_Duernast",2018,NA,35,"2018-09-26",11019,NA
"LTFE_Duernast",2018,NA,36,"2018-09-26",12226,NA
"LTFE_Duernast",2018,NA,37,"2018-09-26",6733,NA
"LTFE_Duernast",2018,NA,38,"2018-09-26",6745,NA
"LTFE_Duernast",2018,NA,39,"2018-09-26",10151,NA
"LTFE_Duernast",2018,NA,40,"2018-09-26",10775,NA
"LTFE_Duernast",2018,NA,41,"2018-09-26",10465,NA
"LTFE_Duernast",2018,NA,42,"2018-09-26",11445,NA
